mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
immersive_aircraft,Immersive Aircraft,1.0.1+1.20.1,immersive_aircraft-1.0.1+1.20.1-forge.jar,,https://www.curseforge.com/minecraft/mc-mods/immersive-aircraft,https://github.com/Luke100000/ImmersiveAircraft/issues
insanelib,InsaneLib,1.13.4,InsaneLib-1.13.4-mc1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/insanelib,https://github.com/Insane96/InsaneLib/issues
ritchiesprojectilelib,Ritchie's Projectile Library,1.0.0-369e88d+1.20.1-forge,ritchiesprojectilelib-1.0.0-369e88d+1.20.1-forge.jar,,,https://github.com/Wagers-of-Industrial-Warfare/RitchiesProjectileLib/issues
controlling,Controlling,12.0.2,Controlling-forge-1.20.1-12.0.2.jar,,https://minecraft.curseforge.com/projects/controlling,https://github.com/jaredlll08/Controlling/issues
prism,Prism,1.0.5,Prism-1.20.1-forge-1.0.5.jar,,https://anthonyhilyard.com/,
placebo,Placebo,8.6.1,Placebo-1.20.1-8.6.1.jar,,,
citadel,Citadel,2.5.4,citadel-2.5.4-1.20.1.jar,,https://github.com/Alex-the-666/Citadel,https://github.com/Alex-the-666/Citadel/issues
alexsmobs,Alex's Mobs,1.22.8,alexsmobs-1.22.8.jar,,https://www.curseforge.com/minecraft/mc-mods/alexs-mobs,https://github.com/Alex-the-666/AlexsMobs/issues
domesticationinnovation,Domestication Innovation,1.7.1,domesticationinnovation-1.7.1-1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/domestication-innovation,https://github.com/Alex-the-666/DomesticationInnovation/issues
fabric_data_attachment_api_v1,Fabric Data Attachment API (v1),1.0.0+30ef839e77,fabric-data-attachment-api-v1-1.0.0+30ef839e77.jar,,,
mixinextras,MixinExtras,0.2.0,mixinextras-forge-0.2.0.jar,,https://github.com/LlamaLad7/MixinExtras,
cavespiderspawn,Cave Spider Spawn,1.1,cavespiderspawn-1.20.1-1.1.jar,,https://serilum.com/mod/cave-spider-spawn,https://github.com/Serilum/.issue-tracker/labels/Mod:%20Cave%20Spider%20Spawn
bookshelf,Bookshelf,20.1.10,Bookshelf-Forge-1.20.1-20.1.10.jar,,https://www.curseforge.com/minecraft/mc-mods/bookshelf,https://github.com/Darkhax-Minecraft/Bookshelf/issues
random_crits,Random Crits,1.3.2,Random Crits 1.3.2 - 1.20.1.jar,,https://legacy.curseforge.com/minecraft/mc-mods/random-crits,
connectorextras_continuity_compat,Connector Extras Continuity Compat,1.10.1+1.20.1,continuity-compat-1.10.1+1.20.1.jar,,https://github.com/Sinytra/ConnectorExtras,https://github.com/Sinytra/ConnectorExtras/issues
create_dragon_lib,Create: Dragon Lib,1.4.3,create_dragon_lib-1.20.1-1.4.3.jar,,,
takesapillage,It Takes A Pillage,1.0.3,takesapillage-1.0.3-1.20.1.jar,,,
additionalstructures,Additional Structures,4.2.1,Rex's-AdditionalStructures-1.20.x-(v.4.2.1).jar,,https://www.curseforge.com/minecraft/mc-mods/additional-structures,https://www.curseforge.com/minecraft/mc-mods/additional-structures/issues
medieval_buildings,Medieval Buildings,1.0.2,medieval_buildings-forge-1.0.2(1).jar,,,
bygonenether,Bygone Nether,1.3.2,bygonenether-1.3.2-1.20.x.jar,,,https://github.com/izofar/bygone-nether/issues
carryon,Carry On,2.1.2.7,carryon-forge-1.20.1-2.1.2.7.jar,,https://tschipp.ch,https://github.com/Tschipp/CarryOn/issues
melody,Melody,1.0.2,melody_forge_1.0.3_MC_1.20.1-1.20.4.jar,,,
cameraoverhaul,Camera Overhaul,1.0.0,cameraoverhaul-1.1-1.20.4.jar,,,https://github.com/CorgiTaco/Minecraft-CameraOverhaul/issues
spelunkers_charm,Spelunker's Charm,3.6.0,spelunkers_charm-3.6.0-1.20.1.jar,,https://mcreator.net,
fabric_api,Forgified Fabric API,0.92.1+1.11.8+1.20.1,fabric-api-0.92.1+1.11.8+1.20.1.jar,,,
connectorextras_modmenu_bridge,Connector Extras ModMenu Bridge,1.10.1+1.20.1,modmenu-bridge-1.10.1+1.20.1.jar,,https://github.com/Sinytra/ConnectorExtras,https://github.com/Sinytra/ConnectorExtras/issues
modmenu,ModMenu (Connector Extras),7.2.2,modmenu-bridge-1.10.1+1.20.1.jar,,,https://github.com/Sinytra/ConnectorExtras/issues
fabric_content_registries_v0,Fabric Content Registries (v0),4.0.11+a670df1e77,fabric-content-registries-v0-4.0.11+a670df1e77.jar,,,
konkrete,Konkrete,1.8.0,konkrete_forge_1.8.0_MC_1.20-1.20.1.jar,,,
enemyexpansion,Enemy Expansion,2.3.1,enemyexpansion-2.3.1-forge-1.20.1.jar,,https://infernalstudios.org/,
astemirlib,AstemirLib,1.25,astemirlib-1.20.1-1.25.jar,,,
farmersdelight,Farmer's Delight,1.20.1-1.2.4,FarmersDelight-1.20.1-1.2.4.jar,,https://github.com/vectorwing/FarmersDelight,https://github.com/vectorwing/FarmersDelight/issues
entity_model_features,Entity Model Features,2.0.2,entity_model_features_forge_1.20.1-2.0.2.jar,,,https://github.com/Traben-0/Entity_Texture_Features/issues
entity_texture_features,Entity Texture Features,6.0.1,entity_texture_features_forge_1.20.1-6.0.1.jar,,,https://github.com/Traben-0/EmissiveMod/issues
dustrial_decor,'Dustrial Decor,1.3.2,DustrialDecor-1.3.5-1.20.jar,,,http://my.issue.tracker/
ambientsounds,AmbientSounds,6.0.1,AmbientSounds_FORGE_v6.0.1_mc1.20.1.jar,,https://modrinth.com/mod/ambientsounds,https://github.com/CreativeMD/AmbientSounds/issues
fabric_api_lookup_api_v1,Fabric API Lookup API (v1),1.6.36+67f9824077,fabric-api-lookup-api-v1-1.6.36+67f9824077.jar,,,
endersdelight,Ender's Delight,1.0.3,endersdelight-1.20.1-1.0.3.jar,,,
cataclysmiccombat,Cataclysmic Combat,1.3,cataclysmiccombat-1.3.1.jar,,,
bfendcities,Big F&$%ing End Cities,1.0,bfendcities-1.0.jar,,,
reach_entity_attributes,Reach Entity Attributes,2.4.0,reach-entity-attributes-2.4.0.jar,,https://github.com/Sinytra/ConnectorExtras,https://github.com/Sinytra/ConnectorExtras/issues
born_in_chaos_v1,Born in Chaos ,1.0.0,born_in_chaos_[Forge]1.20.1_1.3.1.jar,,https://mcreator.net,
lionfishapi,LionfishAPI,1.9,lionfishapi-1.9.jar,,,
dungeons_enhanced,Dungeons Enhanced,5.2.2,dungeons_enhanced-1.20.1-5.2.2.jar,,https://www.curseforge.com/minecraft/mc-mods/dungeonsenhanced,https://github.com/BarionLP/DungeonsEnhanced/issues
connectorextras_architectury_bridge,Connector Extras Architectury Bridge,1.10.1+1.20.1,architectury-bridge-1.10.1+1.20.1.jar,,https://github.com/Sinytra/ConnectorExtras,https://github.com/Sinytra/ConnectorExtras/issues
cataclysm,Cataclysm Mod,1.99.2,L_Enders_Cataclysm-1.99.2 -1.20.1.jar,,,
patchouli,Patchouli,1.20.1-84-FORGE,Patchouli-1.20.1-84-FORGE.jar,,,https://github.com/VazkiiMods/Patchouli
collective,Collective,7.60,collective-1.20.1-7.60.jar,,https://serilum.com/mod/collective,https://github.com/Serilum/.issue-tracker/labels/Library:%20Collective
mr_caves__canyons,Caves & Canyons,1.2,caves__canyons-1.2.jar,,https://modrinth.com/datapack/caves__canyons,
cerbons_api,Cerbons API,1.1.0,CerbonsAPI-Forge-1.20.1-1.1.0.jar,,https://www.curseforge.com/minecraft/mc-mods/cerbons-api,https://github.com/CERBON-MODS/CERBONs-API/issues
betterthirdperson,Better Third Person,1.9.0,BetterThirdPerson-Forge-1.20-1.9.0.jar,,,
seamless_loading_screen,Seamless Loading Screen,2.0.3+1.20.1,seamless-loading-screen-2.0.3+1.20.1-forge.jar,,,
connectormod,Connector,1.0.0-beta.43+1.20.1,Connector-1.0.0-beta.43+1.20.1-mod.jar,,https://github.com/Sinytra/Connector,https://github.com/Sinytra/Connector/issues
resourcefullib,Resourceful Lib,2.1.25,resourcefullib-forge-1.20.1-2.1.25.jar,,,https://github.com/Team-Resourceful/ResoucefulLib/issues/new/choose
architectury,Architectury,9.2.14,architectury-9.2.14-forge.jar,,,https://github.com/shedaniel/architectury/issues
fabric_loot_api_v2,Fabric Loot API (v2),1.2.1+eb28f93e77,fabric-loot-api-v2-1.2.1+eb28f93e77.jar,,,
cupboard,Cupboard utilities,1.20.1-2.6,cupboard-1.20.1-2.6.jar,,,
connectorextras,Connector Extras,1.10.1+1.20.1,ConnectorExtras-1.10.1+1.20.1.jar,,https://github.com/Sinytra/ConnectorExtras,https://github.com/Sinytra/ConnectorExtras/issues
mru,Mineblock's Repeated Utilities,0.4.21.20.1,mru-0.4.2+1.20.1_mapped_srg_1.20.1.jar,https://github.com/mineblock11/MRU,https://github.com/mineblock11/MRU,
fabric_networking_api_v1,Fabric Networking API (v1),1.3.11+503a202477,fabric-networking-api-v1-1.3.11+503a202477.jar,,,
framework,Framework,0.6.27,framework-forge-1.20.1-0.6.27.jar,,https://mrcrayfish.com/mods?id=framework,
sullysmod,Sully's Mod,3.1.2-beta,sullysmod-3.1.2-beta.jar,,https://github.com/Uraneptus/Sullys-Mod,https://github.com/Uraneptus/Sullys-Mod/issues
geckolib,GeckoLib 4,4.4.4,geckolib-forge-1.20.1-4.4.4.jar,,http://geckolib.com/,https://github.com/bernie-g/geckolib/issues
crittersandcompanions,Critters and Companions,1.20.1-2.1.6,crittersandcompanions-1.20.1-2.1.6.jar,,,
quarkdelight,Quark Delight,1.0.0,quark_delight_1.0.0_forge_1.20.1.jar,,https://curseforge.com/minecraft/mc-mods/quark-delight,
fabric_lifecycle_events_v1,Fabric Lifecycle Events (v1),2.2.22+afab492177,fabric-lifecycle-events-v1-2.2.22+afab492177.jar,,,
fabric_key_binding_api_v1,Fabric Key Binding API (v1),1.0.37+561530ec77,fabric-key-binding-api-v1-1.0.37+561530ec77.jar,,,
fabric_transfer_api_v1,Fabric Transfer API (v1),3.3.5+631c9cd677,fabric-transfer-api-v1-3.3.5+631c9cd677.jar,,,
amendments,Amendments,1.20-1.1.31,amendments-1.20-1.1.31.jar,https://www.curseforge.com/minecraft/mc-mods/amendments,,https://github.com/MehVahdJukaar/amendments/issues
awesomedungeonend,Awesome dungeon the end,3.1.1,awesomedungeonend-forge-1.20.1-3.1.1.jar,,https://www.curseforge.com/minecraft/mc-mods/awesome-dungeon-the-end-forge,
connectorextras_pehkui_bridge,Connector Extras Pehkui Bridge,1.10.1+1.20.1,pehkui-bridge-1.10.1+1.20.1.jar,,https://github.com/Sinytra/ConnectorExtras,https://github.com/Sinytra/ConnectorExtras/issues
fabric_resource_loader_v0,Fabric Resource Loader (v0),0.11.10+bcd08ed377,fabric-resource-loader-v0-0.11.10+bcd08ed377.jar,,,
map_atlases,Map Atlases,1.20-6.0.7,map_atlases-1.20-6.0.7.jar,,,
mr_ctov_savageandravagecompat,CTOV - Savage and Ravage Compat,2.0,ctov-savage-and-ravage-compat-2.0.jar,,https://modrinth.com/mod/ctov-savage-and-ravage-compat,
geckoanimfix,GeckoLibIrisCompat,1.0.0,GeckoLibOculusCompat-Forge-1.0.1.jar,,,
create,Create,0.5.1.f,create-1.20.1-0.5.1.f.jar,,https://www.curseforge.com/minecraft/mc-mods/create,https://github.com/Creators-of-Create/Create/issues
create_structures,Create: Structures,0.1.1,create-structures-0.1.1-1.20.1-FORGE.jar,,https://modrinth.com/mod/create-structures,https://github.com/FusionSwarly/Create-Structures/issues
create_central_kitchen,Create: Central Kitchen,1.3.12,create_central_kitchen-1.20.1-for-create-0.5.1.f-1.3.12.jar,,,
waystones,Waystones,14.1.3,waystones-forge-1.20-14.1.3.jar,,https://mods.twelveiterations.com/mc/waystones,https://github.com/TwelveIterationMods/Waystones/issues
structory,Structory,1.3.5,Structory_1.20.x_v1.3.5.jar,,https://www.stardustlabs.net/,https://github.com/Stardust-Labs-MC/Structory/issues
clumps,Clumps,12.0.0.4,Clumps-forge-1.20.1-12.0.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/clumps,https://github.com/jaredlll08/Clumps/issues
fabric_mining_level_api_v1,Fabric Mining Level API (v1),2.1.50+561530ec77,fabric-mining-level-api-v1-2.1.50+561530ec77.jar,,,
tumbleweed,Tumbleweed,0.5.5,Tumbleweed-forge-1.20.1-0.5.5.jar,,,
artifacts,Artifacts,9.5.4,artifacts-forge-9.5.4.jar,,https://www.curseforge.com/minecraft/mc-mods/artifacts,https://github.com/ochotonida/artifacts/issues
outer_end,The Outer End,1.0.8,TheOuterEnd-1.0.9.jar,,,
decorative_blocks,Decorative Blocks,4.1.3,decorative_blocks-forge-1.20.1-4.1.3.jar,,,
make_bubbles_pop,Make Bubbles Pop,0.2.0-forge,make_bubbles_pop-0.2.0-forge-mc1.19.4+.jar,,https://github.com/Tschipcraft/make_bubbles_pop,
everycomp,Every Compat,1.20-2.6.55,everycomp-1.20-2.6.55.jar,,https://www.curseforge.com/minecraft/mc-mods/every-compat,https://github.com/MehVahdJukaar/WoodGood/issues
betterdeserttemples,YUNG's Better Desert Temples,1.20-Forge-3.0.3,YungsBetterDesertTemples-1.20-Forge-3.0.3.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-desert-temples,https://github.com/yungnickyoung/YUNGs-Better-Desert-Temples/issues
netherdepthsupgrade,Nether Depths Upgrade,3.1.5-1.20,netherdepthsupgrade-3.1.5-1.20.jar,,,https://github.com/Scouter456/Nether_Depths_Upgrade/issues
blockswap,Block Swap,5.0.0.0,Block Swap-forge-1.20.1-5.0.0.0.jar,,https://github.com/CorgiTaco/Block-Swap/,https://github.com/CorgiTaco/Block-Swap/issues
qualitysdelight,Quality's Delight,1.20.1-1.5.3,QualitysDelight-1.20.1-1.5.3.jar,,,
oceansdelight,Ocean's Delight,1.0.2-1.20,oceansdelight-1.0.2-1.20.jar,,,https://github.com/Scouter456/Oceans_Delight/issues
bosses_of_mass_destruction,Bosses of Mass Destruction,1.1.2,BOMD-Forge-1.20.1-1.1.2.jar,,https://www.curseforge.com/minecraft/mc-mods/bosses-of-mass-destruction-forge,https://github.com/CERBON-MODS/Bosses-of-Mass-Destruction-FORGE/issues
blueprint,Blueprint,7.1.0,blueprint-1.20.1-7.1.0.jar,,https://www.teamabnormals.com/mods/blueprint,https://github.com/team-abnormals/blueprint/issues
environmental,Environmental,4.0.0,environmental-1.20.1-4.0.0.jar,,https://www.teamabnormals.com/mods/environmental,https://github.com/team-abnormals/environmental/issues
savage_and_ravage,Savage & Ravage,6.0.0,savage_and_ravage-1.20.1-6.0.0.jar,,https://www.teamabnormals.com/mods/savage-and-ravage,https://github.com/team-abnormals/savage-and-ravage/issues
upgrade_aquatic,Upgrade Aquatic,6.0.0,upgrade_aquatic-1.20.1-6.0.0.jar,,https://www.teamabnormals.com/mods/upgrade-aquatic,https://github.com/team-abnormals/upgrade-aquatic/issues
endergetic,The Endergetic Expansion,5.0.0,endergetic-1.20.1-5.0.0.jar,,,https://github.com/team-abnormals/endergetic/issues
neapolitan,Neapolitan,5.0.0,neapolitan-1.20.1-5.0.0.jar,,https://www.teamabnormals.com/mods/neapolitan,https://github.com/team-abnormals/neapolitan/issues
personality,Personality,4.0.0,personality-1.20.1-4.0.0.jar,,https://www.teamabnormals.com/mods/personality,https://github.com/team-abnormals/personality/issues
allurement,Allurement,4.0.0,allurement-1.20.1-4.0.0.jar,,https://www.teamabnormals.com/mods/allurement,https://github.com/team-abnormals/allurement/issues
collectorsreap,Collector's Reap,1.3,collectorsreap-1.20.1-1.3.jar,,https://www.curseforge.com/minecraft/mc-mods/collectors-reap,https://github.com/brnbrd/CollectorsReap/issues
buzzier_bees,Buzzier Bees,6.0.0,buzzier_bees-1.20.1-6.0.0.jar,,https://www.teamabnormals.com/mods/buzzier-bees,https://github.com/team-abnormals/buzzier-bees/issues
berry_good,Berry Good,7.0.0,berry_good-1.20.1-7.0.0.jar,,https://www.teamabnormals.com/mods/berry-good,https://github.com/team-abnormals/berry-good/issues
experimentalsettingsdisabler,Experimental Settings Disabler,3.0,experimentalsettingsdisabler-1.20.1-3.0.jar,,,
azurelib,AzureLib,2.0.22,azurelib-neo-1.20.1-2.0.22.jar,,https://modrinth.com/mod/azurelib,https://github.com/AzureDoom/AzureLib/issues
connectorextras_energy_bridge,Connector Extras Energy Bridge,1.10.1+1.20.1,energy-bridge-1.10.1+1.20.1.jar,,https://github.com/Sinytra/ConnectorExtras,https://github.com/Sinytra/ConnectorExtras/issues
watut,What Are They Up To,1.20.1-1.1.1,watut-forge-1.20.1-1.1.1.jar,,,
mr_ctov_ironsspellsnspellbookscompat,CTOV - Iron's Spells 'n Spellbooks compat,1.2,ctov-irons-spells-n-spellbooks-compat-1.2.jar,,https://modrinth.com/datapack/ctov-irons-spells-n-spellbooks-compat,
seasonals,Seasonals,1.20.1-5.0.0,seasonals-1.20.1-5.0.0.jar,,,
fabric_transitive_access_wideners_v1,Fabric Transitive Access Wideners (v1),4.3.1+1880499877,fabric-transitive-access-wideners-v1-4.3.1+1880499877.jar,,,
alexscaves,Alex's Caves,1.1.4,alexscaves-1.1.4.jar,,,https://github.com/AlexModGuy/AlexsCavesBetaTest/issues
enchdesc,EnchantmentDescriptions,17.0.15,EnchantmentDescriptions-Forge-1.20.1-17.0.15.jar,,https://www.curseforge.com/minecraft/mc-mods/enchantment-descriptions,https://github.com/Darkhax-Minecraft/Enchantment-Descriptions/issues
radiantgear,Radiant Gear,2.1.5+1.20.1,radiantgear-forge-2.1.5+1.20.1.jar,,,https://github.com/illusivesoulworks/radiantgear/issues
moonlight,Moonlight Library,1.20-2.11.31,moonlight-1.20-2.11.31-forge.jar,https://www.curseforge.com/minecraft/mc-mods/selene,,https://github.com/MehVahdJukaar/Moonlight/issues
extragore,Extra Gore,5.2.3,extragore-1.20.1-5.2.3.jar,,,
endermanoverhaul,Enderman Overhaul,1.0.4,endermanoverhaul-forge-1.20.1-1.0.4.jar,,https://modrinth.com/mod/enderman-overhaul,https://github.com/bonsaistudi0s/endermanoverhaul/issues
regions_unexplored,Regions Unexplored,0.5.5,RegionsUnexploredForge-0.5.5+1.20.1.jar,,https://discord.gg/Ss8UHPqHPj,
netherdungeons,Nether Dungeons,1.1.0-snapshot3,netherdungeons-1.1.0-snapshot3.jar,,,
alexscaves_trimmed,Alex's Caves: Trimmed!,1.0.2,alexscavestrimmed-1.1.0.jar,,,
taxcp,Tax' Castle Pillager,1.0.1,TaxCastlePillager+M.1.20.1+ForM.1.0.1.jar,,https://legacy.curseforge.com/minecraft/mc-mods/taxcastlepillager,
silentlib,Silent Lib,8.0.0,silent-lib-1.20.1-8.0.0.jar,,,https://github.com/SilentChaos512/SilentLib
fabric_blockrenderlayer_v1,Fabric BlockRenderLayer Registration (v1),1.1.41+1d0da21e77,fabric-blockrenderlayer-v1-1.1.41+1d0da21e77.jar,,,
mixinsquared,MixinSquared,0.1.1,mixinsquared-forge-0.1.1.jar,,https://github.com/Bawnorton/MixinSquared,
obscure_tooltips,Obscure Tooltips,2.2,Obscure-Tooltips-2.2.jar,,,
amecsapi,Amecs API,1.5.3+mc1.20-pre1,amecsapi-1.5.3+mc1.20-pre1.jar,,https://github.com/Sinytra/ConnectorExtras,https://github.com/Sinytra/ConnectorExtras/issues
betterfarmerscombat,Better Farmer's Combat,1.1,betterfarmerscombat-1.2-1.20.1.jar,,,
another_furniture,Another Furniture,1.20.1-3.0.1,another_furniture-forge-1.20.1-3.0.1.jar,,https://www.curseforge.com/minecraft/mc-mods/another-furniture,https://github.com/starfish-studios/AnotherFurniture/issues
creativecore,CreativeCore,2.11.28,CreativeCore_FORGE_v2.11.28_mc1.20.1.jar,,https://modrinth.com/mod/creativecore,https://github.com/CreativeMD/CreativeCore/issues
smoothboot,Smooth Boot (Reloaded),0.0.4,smoothboot(reloaded)-mc1.20.1-0.0.4.jar,,https://modrinth.com/mod/smooth-boot-reloaded,https://github.com/AbdElAziz333/Smooth-Boot-Reloaded/issues
iguanatweaksreborn,Iguana Tweaks Reborn,3.10.3-mc1.20.1,IguanaTweaksReborn-3.10.3-mc1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/iguanatweaks-reborn,
cavedust,Cave Dust,2.0.4,cavedust-2.0.4-1.20.1-forge.jar,,,
atmospheric,Atmospheric,6.0.0,atmospheric-1.20.1-6.0.0.jar,,https://www.teamabnormals.com/mods/atmospheric,https://github.com/team-abnormals/atmospheric/issues
sounds,Sounds,0.8.11.20.1,Sounds-0.8.1+1.20.1_mapped_srg_1.20.1.jar,https://imb11.dev/,https://imb11.dev/,
iceberg,Iceberg,1.1.21,Iceberg-1.20.1-forge-1.1.21.jar,,https://anthonyhilyard.com/,
citresewn,CIT Resewn,1.20.1-5,citresewn-1.20.1-5.jar,,,
quark,Quark,4.0-443,Quark-4.0-443.jar,,,https://github.com/VazkiiMods/Quark
supplementaries,Supplementaries,1.20-2.8.11,supplementaries-1.20-2.8.11.jar,https://www.curseforge.com/minecraft/mc-mods/supplementaries,,https://github.com/MehVahdJukaar/Supplementaries/issues
suppsquared,Supplementaries Squared,1.20-1.1.14,suppsquared-1.20-1.1.14.jar,,,
legendarytooltips,Legendary Tooltips,1.4.5,LegendaryTooltips-1.20.1-forge-1.4.5.jar,,https://anthonyhilyard.com/,
galospheretrimming,Galosphere Trimming,1.0.0,galospheretrimming-1.20.1-1.0.0.jar,,https://modrinth.com/mod/galosphere-trimming,https://github.com/KreloX/GalosphereTrimming/issues
mes,Moog's End Structures,1.3.1-1.20-forge,mes-1.3.1-1.20-forge.jar,,,
abnormals_delight,Abnormals Delight,5.0.0,abnormals_delight-1.20.1-5.0.0.jar,,https://www.teamabnormals.com/mods/abnormals-delight,https://github.com/team-abnormals/abnormals-delight/issues
legendary_monsters,LegendaryMonsters,1.20.1,legendarymonsters-1.0.7 MC1.20.1.jar,,,
irons_spellbooks,Iron's Spells 'n Spellbooks,1.20.1-3.1.6,irons_spellbooks-1.20.1-3.1.6.jar,,https://www.curseforge.com/minecraft/mc-mods/irons-spells-n-spellbooks,https://github.com/iron431/Irons-Spells-n-Spellbooks/issues
additional_attributes,Additional Attributes,1.0.2,additional_attributes-1.20.1-1.0.2-all.jar,,,
inventoryhud,Inventory HUD+(Forge edition),3.4.18,invhud.forge.1.20.1-3.4.18.jar,,https://www.curseforge.com/minecraft/mc-mods/inventory-hud-forge,
fabric_biome_api_v1,Fabric Biome API (v1),13.0.13+dc36698e77,fabric-biome-api-v1-13.0.13+dc36698e77.jar,,,
fancymenu,FancyMenu,3.2.3,fancymenu_forge_3.2.3_MC_1.20.1.jar,,,
coroutil,CoroUtil,1.20.1-1.3.7,coroutil-forge-1.20.1-1.3.7.jar,,,
wabi_sabi_structures,Wabi-Sabi Structures,2.0.0-1.20,Wabi-Sabi-Structures-2.0.0-1.20-Forge.jar,,,
mvs,Moog's Voyager Structures,4.1.2-1.20-forge,mvs-4.1.2-1.20-forge.jar,,,
creeperoverhaul,Creeper Overhaul,3.0.2,creeperoverhaul-3.0.2-forge.jar,,,
alexsdelight,Alex's Delight,1.5,alexsdelight-1.5.jar,,,
ferritecore,Ferrite Core,6.0.1,ferritecore-6.0.1-forge.jar,,,
yet_another_config_lib_v3,YetAnotherConfigLib,3.4.2+1.20.1-forge,YetAnotherConfigLib-3.4.2+1.20.1-forge.jar,,,
etcetera,Etcetera,1.20.1-1.1.3,Etcetera-1.20.1-1.1.3-Forge.jar,,,
damagevignette,DamageVignette,2.0.2,DamageVignette-2.0.2-forge+mc1.20.jar,,https://modrinth.com/mod/damagevignette,https://github.com/Octol1ttle/DamageVignette/issues
charmofundying,Charm of Undying,6.5.0+1.20.1,charmofundying-forge-6.5.0+1.20.1.jar,,,https://github.com/illusivesoulworks/charmofundying/issues
spawn,Spawn,1.20.1-1.0.2,spawn-1.0.2-forge.jar,,,
wakes,Wakes,0.2.41.20.1,wakes-0.2.4+1.20.1_mapped_srg_1.20.1.jar,https://modrinth.com/mod/wakes,https://modrinth.com/mod/wakes,
plenty_of_golems,plenty of golems,1.3.0,Plenty_of_Golems-V1.3.1-Forge_1.20.1.jar,,https://mcreator.net,
expandability,ExpandAbility,9.0.4,expandability-forge-9.0.4.jar,,,https://github.com/florensie/expandability/issues
connectorextras_emi_bridge,Connector Extras EMI Bridge,1.10.1+1.20.1,emi-bridge-1.10.1+1.20.1.jar,,https://github.com/Sinytra/ConnectorExtras,https://github.com/Sinytra/ConnectorExtras/issues
overflowingbars,Overflowing Bars,8.0.0,OverflowingBars-v8.0.0-1.20.1-Forge.jar,,https://github.com/Fuzss/overflowingbars,https://github.com/Fuzss/overflowingbars/issues
fabric_data_generation_api_v1,Fabric Data Generation API (v1),12.3.4+369cb3a477,fabric-data-generation-api-v1-12.3.4+369cb3a477.jar,,,
fabric_events_interaction_v0,Fabric Events Interaction (v0),0.6.2+0d0bd5a777,fabric-events-interaction-v0-0.6.2+0d0bd5a777.jar,,,
presencefootsteps,Presence Footsteps (Forge),1.20.1-1.9.1-beta.1,PresenceFootsteps-1.20.1-1.9.1-beta.1.jar,,https://www.curseforge.com/minecraft/mc-mods/presence-footsteps-forge,https://github.com/PaintNinja/Presence-Footsteps-Forge
